,Period,Time,grid_node,Domestic_electricity,SolarGains
140,1,3,28,11.513853012048191,0.0
141,1,3,33,9.52078496638039,0.0
142,1,3,34,5.687432751807231,0.0
143,1,3,36,5.3117136,0.0
144,1,3,37,27.70898678092751,0.0
145,1,3,41,1.28724819277108,0.0
146,1,3,42,36.105269111077256,0.0
147,1,3,44,17.405020383344766,0.0
148,1,3,46,17.357205188418284,0.0
149,1,3,47,0.5143132530120486,0.0
150,1,3,49,8.82688718854649,0.0
151,1,3,50,6.28825824,0.0
152,1,3,51,5.49389879518072,0.0
153,1,3,54,4.84499383742285,0.0
154,1,3,55,50.29526686746989,0.0
155,1,3,56,2.0816192771084303,0.0
156,1,3,57,5.961654404819278,0.0
157,1,3,58,4.20134674698795,0.0
158,1,3,59,15.93941703228916,0.0
159,1,3,60,37.26079824710759,0.0
160,1,3,62,3.5150466498735105,0.0
161,1,3,63,4.95691561657658,0.0
162,1,3,66,39.669349285177454,0.0
163,1,3,68,25.54462129735273,0.0
164,1,3,69,3.362313253012047,0.0
165,1,3,71,8.66871005198808,0.0
166,1,3,72,10.681831387951812,0.0
167,1,3,76,10.9584227836267,0.0
168,1,3,81,9.54255801828839,0.0
169,1,3,104,0.55055421686747,0.0
170,1,3,110,17.55762212147801,0.0
171,1,3,111,11.9807430218281,0.0
172,1,3,113,19.421102055850337,0.0
173,1,3,114,12.7938313253012,0.0
174,1,3,119,1.2877798529817908,0.0
175,1,3,121,3.7805616,0.0
176,1,3,123,33.685265359701106,0.0
177,1,3,125,7.79729856,0.0
178,1,3,126,13.542544601064881,0.0
179,1,3,133,19.18288221882659,0.0
180,1,3,135,10.636183132530121,0.0
181,1,3,136,21.49452522360865,0.0
182,1,3,137,1.8037975903614423,0.0
183,1,3,142,1.07226987951807,0.0
184,1,3,149,1.2347424,0.0
185,1,3,159,2.692626506024098,0.0
186,1,3,160,1.934028,0.0
187,1,3,166,4.665675606384516,0.0
188,1,3,178,1.1510424,0.0
189,1,3,183,2.9204604,0.0
190,1,3,185,58.269893668935,0.0
191,1,3,189,8.77973700156912,0.0
192,1,4,0,1.38282189142259,0.0
193,1,4,1,1.750466463614458,0.0
194,1,4,5,16.53945318072288,0.0
195,1,4,9,4.73345542168674,0.0
196,1,4,13,4.97696141375137,0.0
197,1,4,14,3.44751807228916,0.0
198,1,4,16,0.029016,0.0
199,1,4,17,7.263035136,0.0
200,1,4,20,12.51593253012048,0.0
201,1,4,21,0.7616,0.0
202,1,4,23,6.888122332530118,0.0
203,1,4,25,6.496584192,0.0
204,1,4,28,11.513853012048191,0.0
205,1,4,33,9.52078496638039,0.0
206,1,4,34,5.687432751807231,0.0
207,1,4,36,5.3117136,0.0
208,1,4,37,27.70898678092751,0.0
209,1,4,41,1.28724819277108,0.0
210,1,4,42,36.105269111077256,0.0
211,1,4,44,17.405020383344766,0.0
212,1,4,46,17.357205188418284,0.0
213,1,4,47,0.5143132530120486,0.0
214,1,4,49,8.82688718854649,0.0
215,1,4,50,6.28825824,0.0
