id_building,x,y,cluster_id,grid_node,Hub
1903355,2537175.88,1152588.881,0,11,Building161
1903363,2537144.133,1153099.972,1,23,Building162
1903370,2537141.683,1153188.223,95,23,Building163
1903378,2537210.118,1152750.274,82,134,Building166
1903380,2537147.885,1152857.058,6,16,Building167
1903381,2537142.482,1152916.757,26,22,Building168
1903393,2537202.464,1152668.968,58,134,Building170
1903394,2537180.635,1152815.507,23,65,Building171
1903395,2537160.94,1152844.394,23,65,Building172
1903396,2537160.598,1152901.89,6,16,Building173
1903397,2537184.108,1153158.138,95,23,Building174
1903398,2537193.105,1152957.923,50,16,Building175
1903399,2537167.434,1153008.306,68,22,Building176
1903400,2537192.7,1153044.207,37,22,Building177
1903401,2537163.804,1153077.377,37,22,Building178
1903418,2537192.742,1152400.306,81,173,Building184
1903419,2537207.507,1152454.435,81,173,Building185
1903421,2537205.733,1152494.941,81,173,Building186
1903422,2537205.521,1152538.614,60,5,Building187
1903424,2537185.848,1152833.571,23,65,Building188
1903425,2537208.221,1152842.054,91,16,Building189
1903426,2537180.471,1152847.313,23,65,Building190
1903427,2537204.256,1152875.81,91,16,Building191
1903452,2537225.38,1152576.508,60,5,Building199
1903455,2537293.608,1152969.933,22,41,Building200
1903456,2537236.0,1153054.172,70,41,Building201
1903457,2537234.738,1153107.277,15,41,Building202
1903458,2537214.834,1153125.606,15,41,Building203
1903459,2537242.314,1152947.37,50,16,Building204
1903479,2537252.539,1152401.912,18,154,Building206
1903480,2537254.768,1152445.117,79,155,Building207
1903481,2537255.068,1152553.003,60,5,Building208
1903482,2537254.258,1152850.652,91,16,Building209
1903483,2537249.735,1152899.051,50,16,Building210
1903484,2537264.709,1153034.246,70,41,Building211
1903485,2537334.741,1152587.594,59,6,Building212
1903486,2537259.89,1153081.113,70,41,Building213
1903487,2537257.344,1153145.91,69,41,Building214
1903497,2537315.832,1152479.315,14,157,Building221
1903522,2537286.192,1152338.706,28,26,Building223
1903523,2537282.837,1152404.093,18,154,Building224
1903524,2537273.745,1152437.665,79,155,Building225
1903526,2537283.411,1152468.345,79,155,Building226
1903533,2537278.08,1152902.079,50,16,Building227
1903536,2537309.955,1153032.43,70,41,Building228
1903540,2537381.959,1152301.303,7,26,Building229
1903546,2537312.473,1152305.516,28,26,Building230
1903548,2537320.569,1152359.781,80,26,Building231
1903549,2537356.174,1152475.39,14,157,Building232
1903552,2537349.511,1152986.703,78,41,Building233
1903574,2537349.335,1152383.136,80,26,Building239
1903575,2537353.018,1152683.578,73,193,Building240
1903588,2537354.384,1152283.132,7,26,Building241
1903589,2537340.428,1152318.434,28,26,Building242
1903592,2537356.71,1153032.93,78,41,Building243
1903607,2537394.609,1152277.576,7,26,Building244
1903608,2537397.029,1152330.155,7,26,Building245
1903609,2537417.293,1152358.196,51,27,Building246
1903610,2537378.628,1152383.028,51,27,Building247
1903611,2537398.334,1152421.989,38,27,Building248
1903612,2537389.447,1152800.083,86,13,Building249
1903616,2537484.644,1152986.423,24,33,Building250
1903617,2537390.008,1153078.418,4,41,Building251
1903644,2537533.139,1152195.613,87,107,Building253
1903650,2537419.483,1152303.246,7,26,Building254
1903651,2537428.374,1152331.146,51,27,Building255
1903652,2537442.235,1152417.359,38,27,Building256
1903654,2537433.133,1152473.722,38,27,Building257
1903656,2537419.854,1152571.766,65,10,Building258
1903659,2537454.729,1152712.281,75,1,Building259
1903662,2537413.81,1152895.998,47,29,Building260
1903663,2537441.566,1152999.904,53,33,Building261
1903666,2537437.961,1153044.066,53,33,Building262
1903667,2537429.969,1153074.338,53,33,Building263
1903689,2537477.732,1152298.018,92,108,Building264
1903690,2537457.124,1152389.442,38,27,Building265
