Period,Time,grid_node,Domestic_electricity,House_Q_DHW,T_in,House_Q_heating,House_Q_cooling,Th_supply,Th_return,HeatGains,SolarGains,PV_production,PV_curtailment
6,19,5.0,20.850313452934987,22.900282016956712,84.05235873855,0.0,0.0,80.0,80.0,5.725531187874745,44.62483255359581,2.33192063984,0.0
6,19,6.0,15.185910933597068,16.67896474788041,25.45673579677,0.0,0.0,20.0,20.0,4.170076716729598,86.59090714574268,1.14023915437,0.0
6,19,10.0,0.2956513311664555,0.0,31.56726538337,0.0,0.0,20.0,20.0,0.5117624991664556,1.3922974982671783,0.08997016187,0.0
6,19,11.0,36.732517178506214,32.99793912913877,133.12959702389,0.0,0.0,80.0,80.0,16.552179211315853,173.7527365585389,3.13099688744,0.0
6,19,13.0,5.670176629959057,6.227659080767514,20.81261927184,0.0,0.0,20.0,20.0,1.5570400516458045,8.780127015344116,0.40292149854,0.0
6,19,16.0,132.94797703442097,135.11863989290492,311.89548164073,0.0,0.0,303.9889460115853,302.62846336105684,36.54728784583302,276.39187433275583,10.26335077772,0.0
6,19,17.0,2.5010734219821638,2.649385095939312,42.24683096078,0.0,0.0,40.0,40.0,0.6758242653556573,4.614242661034651,1.1357948806,0.0
6,19,19.0,10.947699951788186,0.0,23.46902407513,0.0,0.0,19.35249935,19.35249935,4.040944095788186,86.70332350890384,3.4806615781,0.0
6,19,20.0,7.588919194055509,0.0,67.32622624709,0.0,0.0,60.0,60.0,1.9276208260555092,49.57113347289628,2.83004493852,0.0
6,19,21.0,24.462064272851315,26.75856564033913,21.03647715787,0.0,0.0,20.0,20.0,6.705114682489868,61.53446954331499,1.32084412309,0.0
6,19,22.0,74.05166142858732,79.10900925768803,243.00472267044,0.0,0.0,219.54580735,219.54580735,20.91793398408139,259.6707617864216,7.2674710865600005,0.0
6,19,23.0,79.37634718910304,84.07658368857652,288.2298682139,0.0,0.0,259.735772,259.735772,22.724967201903038,303.955736473695,10.6203074464,0.0
6,19,24.0,229.10777901993063,247.33500021474788,761.54616492551,0.0,0.0,716.1161372618253,710.7440915078836,64.23841265366556,450.2574281791535,21.27666472327,0.0
6,19,25.0,9.169287666369637,10.070796965640337,42.2643829246,0.0,0.0,40.0,40.0,2.5179018350443356,31.503865587590475,1.58946323703,0.0
6,19,26.0,68.88293122104608,73.83338616688978,231.38102186745,0.0,0.0,223.77884877197255,222.51923251464837,18.821646380371376,127.39367609308309,6.31229040007,0.0
